class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.992(0.971-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),mobilenetv4_m,val
Dislocation,0.976(0.941-1.000),0.596(0.250-0.889),1.000(1.000-1.000),0.980(0.960-0.995),1.000(1.000-1.000),0.981(0.961-0.995),mobilenetv4_m,val
Stem Loosening,0.960(0.923-0.988),0.525(0.300-0.750),0.990(0.973-1.000),0.954(0.919-0.980),0.838(0.583-1.000),0.947(0.913-0.976),mobilenetv4_m,val
Fracture,0.947(0.911-0.973),0.568(0.385-0.742),0.972(0.945-0.994),0.930(0.891-0.962),0.773(0.588-0.945),0.913(0.874-0.947),mobilenetv4_m,val
Acetabular Loosening,0.926(0.885-0.959),0.794(0.685-0.891),0.864(0.807-0.916),0.913(0.866-0.958),0.700(0.585-0.807),0.844(0.792-0.889),mobilenetv4_m,val
Wear,0.887(0.795-0.963),0.108(0.000-0.333),1.000(1.000-1.000),0.962(0.932-0.985),1.000(1.000-1.000),0.962(0.932-0.986),mobilenetv4_m,val
Good Place,0.863(0.810-0.909),0.808(0.712-0.900),0.754(0.685-0.823),0.889(0.828-0.946),0.618(0.511-0.713),0.772(0.715-0.826),mobilenetv4_m,val
