class,auc,sensitivity,specificity,npv,ppv,acc
Spacer,0.998(0.990-1.000),0.943(0.812-1.000),1.000(1.000-1.000),0.995(0.986-1.000),1.000(1.000-1.000),0.996(0.987-1.000)
Acetabular Loosening,0.992(0.984-0.999),0.984(0.948-1.000),0.971(0.944-0.994),0.994(0.981-1.000),0.923(0.855-0.983),0.974(0.952-0.991)
Good Place,0.991(0.980-0.998),0.990(0.967-1.000),0.962(0.926-0.992),0.992(0.975-1.000),0.952(0.906-0.990),0.974(0.952-0.991)
Fracture,0.962(0.917-0.991),0.794(0.656-0.927),0.985(0.965-1.000),0.965(0.940-0.989),0.902(0.783-1.000),0.957(0.930-0.983)
Wear,0.958(0.854-1.000),0.891(0.615-1.000),1.000(1.000-1.000),0.996(0.986-1.000),1.000(1.000-1.000),0.996(0.987-1.000)
Dislocation,0.877(0.597-1.000),0.685(0.250-1.000),1.000(1.000-1.000),0.992(0.978-1.000),1.000(1.000-1.000),0.992(0.978-1.000)
Stem Loosening,0.769(0.170-0.996),0.506(0.000-1.000),0.991(0.978-1.000),0.991(0.978-1.000),0.510(0.000-1.000),0.983(0.965-0.996)
