class,auc,sensitivity,specificity,npv,ppv,acc
Spacer,1.000(0.998-1.000),1.000(1.000-1.000),0.953(0.922-0.981),1.000(1.000-1.000),0.628(0.444-0.810),0.956(0.930-0.983)
Fracture,0.997(0.988-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.946(0.868-1.000),0.991(0.978-1.000)
Acetabular Loosening,0.984(0.963-0.998),0.921(0.841-0.983),0.982(0.959-1.000),0.972(0.944-0.994),0.948(0.884-1.000),0.966(0.939-0.987)
Good Place,0.965(0.940-0.986),0.858(0.788-0.922),0.985(0.963-1.000),0.902(0.851-0.945),0.978(0.945-1.000),0.931(0.896-0.961)
Dislocation,0.935(0.777-1.000),0.841(0.500-1.000),0.996(0.986-1.000),0.996(0.986-1.000),0.840(0.500-1.000),0.992(0.978-1.000)
Wear,0.916(0.726-1.000),0.778(0.461-1.000),0.991(0.977-1.000),0.991(0.977-1.000),0.782(0.500-1.000),0.983(0.965-0.996)
Stem Loosening,0.743(0.467-1.000),0.496(0.000-1.000),0.983(0.964-0.996),0.991(0.978-1.000),0.340(0.000-0.803),0.974(0.956-0.991)
