class,model,auc,sensitivity,specificity,npv,ppv,acc
,Dislocation,0.991(0.977-1.000),0.745(0.444-1.000),0.991(0.978-1.000),0.987(0.969-1.000),0.821(0.562-1.000),0.979(0.958-0.996)
,Spacer,0.985(0.961-0.999),0.489(0.214-0.769),1.000(1.000-1.000),0.970(0.947-0.991),1.000(1.000-1.000),0.971(0.950-0.992)
,Fracture,0.916(0.876-0.951),0.371(0.219-0.533),0.941(0.907-0.971),0.897(0.856-0.934),0.521(0.321-0.722),0.858(0.812-0.896)
,Wear,0.904(0.839-0.956),0.395(0.100-0.727),0.943(0.913-0.970),0.973(0.949-0.991),0.230(0.053-0.438),0.920(0.887-0.954)
,Stem Loosening,0.888(0.827-0.940),0.410(0.200-0.632),0.954(0.924-0.981),0.941(0.909-0.972),0.475(0.261-0.714),0.904(0.867-0.938)
,Acetabular Loosening,0.856(0.804-0.902),0.367(0.250-0.480),0.908(0.863-0.947),0.784(0.725-0.841),0.610(0.455-0.744),0.755(0.696-0.808)
,Good Place,0.756(0.690-0.815),0.634(0.527-0.734),0.565(0.493-0.648),0.759(0.681-0.829),0.416(0.331-0.508),0.587(0.525-0.650)
