class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.990(0.969-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),googlenet,val
Dislocation,0.978(0.945-1.000),0.699(0.375-1.000),0.980(0.959-0.995),0.985(0.964-1.000),0.637(0.333-0.909),0.966(0.942-0.990),googlenet,val
Fracture,0.945(0.902-0.978),0.601(0.409-0.769),0.983(0.961-1.000),0.935(0.899-0.967),0.857(0.692-1.000),0.927(0.894-0.957),googlenet,val
Acetabular Loosening,0.924(0.888-0.956),0.608(0.485-0.727),0.947(0.907-0.980),0.859(0.805-0.908),0.820(0.696-0.932),0.851(0.797-0.894),googlenet,val
Stem Loosening,0.919(0.864-0.963),0.421(0.188-0.647),0.974(0.948-0.995),0.943(0.908-0.974),0.619(0.333-0.889),0.923(0.884-0.957),googlenet,val
Good Place,0.893(0.846-0.934),0.882(0.797-0.952),0.682(0.607-0.755),0.922(0.866-0.970),0.577(0.481-0.667),0.748(0.691-0.807),googlenet,val
Wear,0.856(0.733-0.955),0.223(0.000-0.546),0.990(0.974-1.000),0.966(0.941-0.990),0.490(0.000-1.000),0.957(0.928-0.986),googlenet,val
