model,epoch,subset217_auc
casgnet,1,0.6844954819910603
casgnet,2,0.8259697753037739
casgnet,3,0.7722429429517145
casgnet,4,0.8874116620628103
casgnet,5,0.8931274651964936
casgnet,6,0.9090899298022269
casgnet,7,0.8987829925599605
casgnet,8,0.911922321184708
casgnet,9,0.8998658679131705
casgnet,10,0.9199457843071449
casgnet,11,0.9116798902536943
casgnet,12,0.9336339164801041
casgnet,13,0.896197642101617
casgnet,14,0.9326856779702138
casgnet,15,0.9476805971131793
casgnet,16,0.9268513836092546
casgnet,17,0.9440071191349576
casgnet,18,0.9607439944960413
casgnet,19,0.9434941810070434
casgnet,20,0.93580526999576
casgnet,21,0.924948575286135
casgnet,22,0.9292746366727239
casgnet,23,0.916429431523886
casgnet,24,0.9174238641178502
casgnet,25,0.9329714576498268
casgnet,26,0.9224397754632189
casgnet,27,0.9480406324439785
casgnet,28,0.9472091669157104
casgnet,29,0.9352510506878865
casgnet,30,0.9343136913760967
casgnet,31,0.9556138024438778
casgnet,32,0.9673701669092738
casgnet,33,0.9460985741280441
casgnet,34,0.9400995613286364
casgnet,35,0.9367894273617748
casgnet,36,0.9486965979857546
casgnet,37,0.9654365466914061
casgnet,38,0.943309041079905
casgnet,39,0.9546082161392765
casgnet,40,0.9679894978109475
casgnet,41,0.9459184003729566
casgnet,42,0.9460904035592481
casgnet,43,0.9415372932790268
casgnet,44,0.9713392660350149
casgnet,45,0.970352455611864
casgnet,46,0.9593268522976448
casgnet,47,0.9631485058323134
casgnet,48,0.9652510354806517
casgnet,49,0.9416635179119578
casgnet,50,0.9681157411508223
casgnet,51,0.9553850786451188
casgnet,52,0.94969084542866
casgnet,53,0.9653911576469617
casgnet,54,0.9593292194326123
casgnet,55,0.9709306592052831
casgnet,56,0.9723645170483691
casgnet,57,0.9439145563365072
casgnet,58,0.9497471273576268
casgnet,59,0.9385370207645561
casgnet,60,0.9564482826266525
casgnet,61,0.9327532299811414
casgnet,62,0.9337184580274523
casgnet,63,0.9333388110018201
casgnet,64,0.9503726183772013
casgnet,65,0.9460387506321065
casgnet,66,0.952771863314824
casgnet,67,0.9548115831420504
casgnet,68,0.9432391170124917
casgnet,69,0.9446519382387556
casgnet,70,0.9414851249882111
casgnet,71,0.944436095295902
casgnet,72,0.9379765533992446
casgnet,73,0.9379231267035901
casgnet,74,0.9342926926000648
casgnet,75,0.9568407499028082
casgnet,76,0.9467977378079876
casgnet,77,0.9511401404338292
casgnet,78,0.9549943189776039
casgnet,79,0.974589862946402
casgnet,80,0.9794032050581648
casgnet,81,0.9641808588161404
casgnet,82,0.9585671837869191
casgnet,83,0.9783015498974115
casgnet,84,0.948227743782742
casgnet,85,0.9595615228166299
casgnet,86,0.969217583548908
casgnet,87,0.9748659332556918
casgnet,88,0.9687706008560832
casgnet,89,0.9727532720480444
casgnet,90,0.9620713662844251
casgnet,91,0.9595410637368289
casgnet,92,0.9739137229597586
casgnet,93,0.9614367248889233
casgnet,94,0.9436627028314529
casgnet,95,0.9477891236834198
casgnet,96,0.9439248659574411
casgnet,97,0.9343124805589306
casgnet,98,0.9355792515480476
casgnet,99,0.9591825448962155
casgnet,100,0.9493960999327256
casgnet,101,0.939706687723225
casgnet,102,0.9634101110614945
casgnet,103,0.9505082035642414
casgnet,104,0.9503200573977162
casgnet,105,0.9484410985364692
casgnet,106,0.9380444658013959
casgnet,107,0.9740690366850681
casgnet,108,0.9507573458694271
casgnet,109,0.9533317686467255
casgnet,110,0.9625200295992047
casgnet,111,0.9300158218328399
casgnet,112,0.9744996803042761
casgnet,113,0.9671012586235258
casgnet,114,0.9618138895420658
casgnet,115,0.9698694726227574
casgnet,116,0.9711097148520442
casgnet,117,0.9321329605524646
casgnet,118,0.9630794307443081
casgnet,119,0.9543362667781646
casgnet,120,0.9606201899033998
casgnet,121,0.9570488766466391
casgnet,122,0.9682136614114718
casgnet,123,0.9647789366358731
casgnet,124,0.9582990772100246
casgnet,125,0.9701137040738805
casgnet,126,0.9700111268403988
casgnet,127,0.9633068653923994
casgnet,128,0.9572407647265077
casgnet,129,0.9618248933673631
casgnet,130,0.9694822093402384
casgnet,131,0.9621569034437847
casgnet,132,0.9609359748544658
casgnet,133,0.9678949800171078
casgnet,134,0.9712144521395654
casgnet,135,0.9728157491014784
casgnet,136,0.9737104483492744
casgnet,137,0.9640023875792433
casgnet,138,0.96258364618638
casgnet,139,0.9709705388165452
casgnet,140,0.967763446319758
casgnet,141,0.9573695875969884
casgnet,142,0.9602839805325301
casgnet,143,0.9487738975569437
casgnet,144,0.9648978503359107
casgnet,145,0.9425717168148217
casgnet,146,0.9563755613801236
casgnet,147,0.9716630508924851
casgnet,148,0.9608981354388425
casgnet,149,0.9764823719012509
casgnet,150,0.9715398307529107
casgnet,151,0.9764838709698554
casgnet,152,0.9721211136723759
casgnet,153,0.9804576427760782
casgnet,154,0.9714066073417993
casgnet,155,0.9717221301258724
casgnet,156,0.9666608343869588
casgnet,157,0.9542248825280171
casgnet,158,0.9574569653523163
casgnet,159,0.9624407066741671
casgnet,160,0.965073967178209
casgnet,161,0.9570011604158967
casgnet,162,0.9550482962773614
casgnet,163,0.9672482565434567
casgnet,164,0.9501947498445255
casgnet,165,0.9523688335683319
casgnet,166,0.9627451683811967
casgnet,167,0.9470667828861222
casgnet,168,0.9458272784240507
casgnet,169,0.9679682435515394
casgnet,170,0.9712739956710722
casgnet,171,0.9538368296219717
casgnet,172,0.9573549572116852
casgnet,173,0.9547765900692793
casgnet,174,0.9432465779916026
casgnet,175,0.9469314058471378
casgnet,176,0.9583187521053017
casgnet,177,0.9695807750969311
casgnet,178,0.9763486911759494
casgnet,179,0.9684564216140432
casgnet,180,0.9711083046287884
casgnet,181,0.9726541299099465
casgnet,182,0.9584098839848944
casgnet,183,0.965713684292435
casgnet,184,0.9582532498347128
casgnet,185,0.9477241555576069
casgnet,186,0.9421083385201222
casgnet,187,0.9499461428550026
casgnet,188,0.9567080810261412
casgnet,189,0.9370144189320576
casgnet,190,0.9427578147042912
casgnet,191,0.9451922407367376
