variant,variant_name,epoch,train_loss,val_auc
ab111,casgnet_full,1,1.8890452290041455,0.6635314487921553
ab111,casgnet_full,2,1.642602732587062,0.7252428433230749
ab111,casgnet_full,3,1.5811164141851686,0.7711539023274406
ab111,casgnet_full,4,1.4848111131654287,0.8381811846854269
ab111,casgnet_full,5,1.3982898616675732,0.8517403415343493
ab111,casgnet_full,6,1.2689690077980695,0.8427574036707254
ab111,casgnet_full,7,1.234279632855957,0.8594586315387087
ab111,casgnet_full,8,1.1401428002931528,0.8646774857785157
ab111,casgnet_full,9,1.0719941794800385,0.8272209328572347
ab111,casgnet_full,10,1.0320335620850216,0.8706823768403301
ab111,casgnet_full,11,1.0254059539629266,0.881818127023885
ab111,casgnet_full,12,0.9890131369430855,0.8931664920743615
ab111,casgnet_full,13,0.9640901377031398,0.8959925091842794
ab111,casgnet_full,14,0.9166262333873385,0.8778203739278307
ab111,casgnet_full,15,0.861163261859926,0.910170323451935
ab111,casgnet_full,16,0.7890625849851509,0.8924034756389999
ab111,casgnet_full,17,0.7812258197113746,0.9037727568048757
ab111,casgnet_full,18,0.7512730821625603,0.9003197809170579
ab111,casgnet_full,19,0.7210848369558125,0.8982319948658962
ab111,casgnet_full,20,0.6878923136736429,0.9082359613647047
ab111,casgnet_full,21,0.7053062288119796,0.9247145655634527
ab111,casgnet_full,22,0.5920539722655449,0.9355051714518023
ab111,casgnet_full,23,0.593344431303091,0.9110388187963291
ab111,casgnet_full,24,0.6282481515939619,0.9242928957874794
ab111,casgnet_full,25,0.6313601491390868,0.8928529555182257
ab111,casgnet_full,26,0.5835250957955498,0.9016120906556857
ab111,casgnet_full,27,0.5757760568033226,0.9152143749593638
ab111,casgnet_full,28,0.5214015498523689,0.9297779623029607
ab111,casgnet_full,29,0.5193347192500842,0.9263455954847258
ab111,casgnet_full,30,0.4518157535280911,0.9151937381672771
ab111,casgnet_full,31,0.49844645547924343,0.8943446404920969
ab111,casgnet_full,32,0.49630907706386074,0.9138945507556165
ab111,casgnet_full,33,0.4053061595871883,0.9148559359269516
ab111,casgnet_full,34,0.4229228482890618,0.9283836017391177
ab111,casgnet_full,35,0.4126523557704378,0.9277751581415663
ab111,casgnet_full,36,0.44158021158418553,0.9217043784229709
ab111,casgnet_full,37,0.42804567690206236,0.9138460246430802
ab111,casgnet_full,38,0.36672575698111687,0.9186470870777762
ab111,casgnet_full,39,0.33706626493766884,0.9130667444673284
ab111,casgnet_full,40,0.3312101416083095,0.9222864960360242
ab111,casgnet_full,41,0.37763788235633305,0.916521956740878
ab111,casgnet_full,42,0.34185212390414194,0.9190087222238
