variant,variant_name,epoch,train_loss,val_auc
ab010,casgnet_only_grn,1,1.9543889955099587,0.5440546863346386
ab010,casgnet_only_grn,2,1.857077309392186,0.669912750280773
ab010,casgnet_only_grn,3,1.8279553666189583,0.6142898102924045
ab010,casgnet_only_grn,4,1.6998881468295475,0.6289155270969268
ab010,casgnet_only_grn,5,1.6036469727862441,0.7263171707510144
ab010,casgnet_only_grn,6,1.5130364174434445,0.7496359295115286
ab010,casgnet_only_grn,7,1.4960499412331851,0.7721466947926706
ab010,casgnet_only_grn,8,1.3886507635956362,0.7444090158257063
ab010,casgnet_only_grn,9,1.4106814553567957,0.7740967115593459
ab010,casgnet_only_grn,10,1.316481813015495,0.7642401796521862
ab010,casgnet_only_grn,11,1.2602914246776566,0.794882233803416
ab010,casgnet_only_grn,12,1.1474161875693731,0.8280468137818378
ab010,casgnet_only_grn,13,1.1653340826276128,0.8290849440227904
ab010,casgnet_only_grn,14,1.1490492280055875,0.8246910760969416
ab010,casgnet_only_grn,15,1.0866660971118112,0.8706452157427363
ab010,casgnet_only_grn,16,1.0780126312242055,0.863434373754884
ab010,casgnet_only_grn,17,1.0341824232741057,0.8734814693055348
ab010,casgnet_only_grn,18,1.0121625701394674,0.8883724183979831
ab010,casgnet_only_grn,19,1.001628120356791,0.8721146363452938
ab010,casgnet_only_grn,20,0.990078754534336,0.9031571773242073
ab010,casgnet_only_grn,21,0.9460285115443323,0.8823829183500338
ab010,casgnet_only_grn,22,0.9778532360661303,0.895819176891704
ab010,casgnet_only_grn,23,0.915583947958791,0.9020199272775945
ab010,casgnet_only_grn,24,0.9063109047306461,0.904305116723541
ab010,casgnet_only_grn,25,0.9076292755664186,0.9128085088767418
ab010,casgnet_only_grn,26,0.8889060287912735,0.9102531221459677
ab010,casgnet_only_grn,27,0.8752023947253302,0.9138965581637739
ab010,casgnet_only_grn,28,0.8280077406954564,0.8893814411273999
ab010,casgnet_only_grn,29,0.8502663133083983,0.9140037506669261
ab010,casgnet_only_grn,30,0.7934060010461381,0.9261768165694544
ab010,casgnet_only_grn,31,0.7731279615038698,0.8934978258443845
ab010,casgnet_only_grn,32,0.7896346971842003,0.91363635434588
ab010,casgnet_only_grn,33,0.772530558960573,0.9190095645572102
ab010,casgnet_only_grn,34,0.7489875432809385,0.9053476437514841
ab010,casgnet_only_grn,35,0.6841038779700478,0.9154679028247603
ab010,casgnet_only_grn,36,0.6793385004968494,0.9252614952403068
ab010,casgnet_only_grn,37,0.6958503928776961,0.8864154691374758
ab010,casgnet_only_grn,38,0.6902700771181086,0.908070950298867
ab010,casgnet_only_grn,39,0.6486430788644116,0.9289226255478835
ab010,casgnet_only_grn,40,0.7288856714856063,0.8992178049687641
ab010,casgnet_only_grn,41,0.6990502646374904,0.918482175449802
ab010,casgnet_only_grn,42,0.6877672561546574,0.9103734873569429
ab010,casgnet_only_grn,43,0.6430257569607549,0.9090062917745598
ab010,casgnet_only_grn,44,0.6279897099524844,0.9127822754168523
ab010,casgnet_only_grn,45,0.5918076164184635,0.9135624276382804
ab010,casgnet_only_grn,46,0.5795762487861302,0.9000576893250957
ab010,casgnet_only_grn,47,0.6019178109807474,0.9099245723778734
ab010,casgnet_only_grn,48,0.5587457410173335,0.9044311543447725
ab010,casgnet_only_grn,49,0.5715650870802894,0.9263616541080666
ab010,casgnet_only_grn,50,0.5205032693893975,0.9381501899165077
ab010,casgnet_only_grn,51,0.5579223220828646,0.9186280871513973
ab010,casgnet_only_grn,52,0.5047158994346821,0.923278256444106
ab010,casgnet_only_grn,53,0.49650413092715606,0.9313208999374007
ab010,casgnet_only_grn,54,0.4545455362885939,0.9404249751661037
ab010,casgnet_only_grn,55,0.46979169125148557,0.939202732143009
ab010,casgnet_only_grn,56,0.5274409416645083,0.9454722539797241
ab010,casgnet_only_grn,57,0.45912274477421444,0.9223296474428434
ab010,casgnet_only_grn,58,0.4708484260250777,0.918760418228884
ab010,casgnet_only_grn,59,0.48745019703348524,0.9259182033334924
ab010,casgnet_only_grn,60,0.4875780730109451,0.9188049868581808
ab010,casgnet_only_grn,61,0.36736286028015314,0.9353423353705637
ab010,casgnet_only_grn,62,0.42673193358684763,0.9207285215099262
ab010,casgnet_only_grn,63,0.4656764464082131,0.921245835020887
ab010,casgnet_only_grn,64,0.43943686734781623,0.9187083669012389
ab010,casgnet_only_grn,65,0.4517844368954188,0.9038827024806223
ab010,casgnet_only_grn,66,0.3654732270968406,0.913320326171338
ab010,casgnet_only_grn,67,0.36484629372348254,0.9055230458467312
ab010,casgnet_only_grn,68,0.35964419053748375,0.9215711507088472
ab010,casgnet_only_grn,69,0.40179622608301,0.9102751511224713
ab010,casgnet_only_grn,70,0.37976111829352754,0.92376254740301
ab010,casgnet_only_grn,71,0.3822550560438734,0.9211733615717079
ab010,casgnet_only_grn,72,0.34005210490220994,0.935357816156807
ab010,casgnet_only_grn,73,0.32277716795124106,0.9326178967144142
ab010,casgnet_only_grn,74,0.35520333612497235,0.9194600329685461
ab010,casgnet_only_grn,75,0.38217889011553313,0.9406271332995778
ab010,casgnet_only_grn,76,0.3129306808383675,0.9230269374198664
ab010,casgnet_only_grn,77,0.28723322823913305,0.9133873756043502
ab010,casgnet_only_grn,78,0.3170002824542606,0.9421830466167157
ab010,casgnet_only_grn,79,0.3132577203079357,0.9251155059494963
ab010,casgnet_only_grn,80,0.3229800782675335,0.9280446193028158
ab010,casgnet_only_grn,81,0.31248427055713207,0.9340344825397368
ab010,casgnet_only_grn,82,0.292061084357907,0.9251186384897319
ab010,casgnet_only_grn,83,0.33306868750022317,0.9383210979327684
ab010,casgnet_only_grn,84,0.2649033358286891,0.9413350379265593
ab010,casgnet_only_grn,85,0.2516659778982077,0.9381567898552999
ab010,casgnet_only_grn,86,0.2769651192232553,0.9246909880348514
ab010,casgnet_only_grn,87,0.23838139666003974,0.943536380072249
ab010,casgnet_only_grn,88,0.25328780423099373,0.9307745032323093
ab010,casgnet_only_grn,89,0.2090724548650737,0.9442279457528303
ab010,casgnet_only_grn,90,0.23697063653978134,0.9407799973013714
ab010,casgnet_only_grn,91,0.2658881815768266,0.9445302146758294
ab010,casgnet_only_grn,92,0.24002217944482268,0.9508746457741342
ab010,casgnet_only_grn,93,0.25490773489880764,0.9383839193475904
ab010,casgnet_only_grn,94,0.27758637517331164,0.9444086660267269
ab010,casgnet_only_grn,95,0.23998357945170132,0.9353314591339561
ab010,casgnet_only_grn,96,0.2156316519358765,0.9403165011881128
ab010,casgnet_only_grn,97,0.22571889673268694,0.9376807688480728
ab010,casgnet_only_grn,98,0.1931511329439782,0.9420753935802212
ab010,casgnet_only_grn,99,0.19426062251064832,0.9516646581770265
ab010,casgnet_only_grn,100,0.2510757088769043,0.9418878050398986
ab010,casgnet_only_grn,101,0.2522792173381019,0.9421965843408955
ab010,casgnet_only_grn,102,0.26648206266476826,0.9275663264908961
ab010,casgnet_only_grn,103,0.1794519594480678,0.9382041336524535
ab010,casgnet_only_grn,104,0.21226953032939944,0.9329318888446335
