variant,variant_name,epoch,train_loss,val_auc
ab011,casgnet_no_sa,1,1.842727128933077,0.7080419826701315
ab011,casgnet_no_sa,2,1.5826238705827187,0.765738544794572
ab011,casgnet_no_sa,3,1.527474265190603,0.811775840474837
ab011,casgnet_no_sa,4,1.3768560797227738,0.8094141057531429
ab011,casgnet_no_sa,5,1.326363475388871,0.8368422325754319
ab011,casgnet_no_sa,6,1.2425094305102875,0.8493059268962445
ab011,casgnet_no_sa,7,1.0847364746043133,0.8765099069793264
ab011,casgnet_no_sa,8,1.1630349663255872,0.8157157459865114
ab011,casgnet_no_sa,9,1.0348049280007872,0.901636149822657
ab011,casgnet_no_sa,10,1.0086481203072322,0.8861755393156746
ab011,casgnet_no_sa,11,1.026851470277738,0.8993176787576391
ab011,casgnet_no_sa,12,0.943713008494659,0.9079911018709125
ab011,casgnet_no_sa,13,0.9018813598141595,0.9050457386179428
ab011,casgnet_no_sa,14,0.8445245896087481,0.9160159977448235
ab011,casgnet_no_sa,15,0.7855362526182674,0.9216762388147197
ab011,casgnet_no_sa,16,0.7508866264966774,0.9207990696283102
ab011,casgnet_no_sa,17,0.829794868197746,0.9328529379638975
ab011,casgnet_no_sa,18,0.7836132094857201,0.931558271280113
ab011,casgnet_no_sa,19,0.674003523135214,0.9041444335999141
ab011,casgnet_no_sa,20,0.6733057522658703,0.9191463022667306
ab011,casgnet_no_sa,21,0.6235791090673647,0.9313123826804496
ab011,casgnet_no_sa,22,0.6054091643366797,0.931483282813657
ab011,casgnet_no_sa,23,0.6195878873975774,0.9198591984541286
ab011,casgnet_no_sa,24,0.5777038289784522,0.9255102948248163
ab011,casgnet_no_sa,25,0.5696303363444578,0.9363353889389135
ab011,casgnet_no_sa,26,0.5816520160587619,0.9179936894759722
ab011,casgnet_no_sa,27,0.5072584325499356,0.9399558742407631
ab011,casgnet_no_sa,28,0.47794962008410685,0.9164090440607735
ab011,casgnet_no_sa,29,0.48342598901007805,0.9093537288572296
ab011,casgnet_no_sa,30,0.5043261960346535,0.917442843483509
ab011,casgnet_no_sa,31,0.43564631406159393,0.9276700352215148
ab011,casgnet_no_sa,32,0.4172649622970093,0.9330966402772802
ab011,casgnet_no_sa,33,0.4105956359205833,0.9269848497350416
ab011,casgnet_no_sa,34,0.35686306570925097,0.9303030580859785
ab011,casgnet_no_sa,35,0.3822412653337486,0.9245400121750936
ab011,casgnet_no_sa,36,0.3410601061920493,0.9293835979074705
ab011,casgnet_no_sa,37,0.38292312143938967,0.9499942303959796
ab011,casgnet_no_sa,38,0.40027722604887334,0.9241923423506603
ab011,casgnet_no_sa,39,0.3969230114047576,0.9334767295372856
ab011,casgnet_no_sa,40,0.31726815890345555,0.9370481645692071
ab011,casgnet_no_sa,41,0.31829110762178536,0.9563560607241254
ab011,casgnet_no_sa,42,0.2230723838179189,0.9397193114400361
ab011,casgnet_no_sa,43,0.30190853122060063,0.9338067949178702
ab011,casgnet_no_sa,44,0.3373159823357268,0.935866581646353
ab011,casgnet_no_sa,45,0.3105730059926271,0.9265498483731355
ab011,casgnet_no_sa,46,0.2577020298730047,0.9367079704503534
ab011,casgnet_no_sa,47,0.2689147464868099,0.9442912475687611
ab011,casgnet_no_sa,48,0.2910016573093769,0.9181071702017006
ab011,casgnet_no_sa,49,0.23588785875152765,0.934853128131853
ab011,casgnet_no_sa,50,0.23223969685441767,0.9442879076552924
ab011,casgnet_no_sa,51,0.26650115547407377,0.9237035435604507
ab011,casgnet_no_sa,52,0.2724528368764677,0.9350729881548593
ab011,casgnet_no_sa,53,0.22121737005842898,0.929212053117043
