class,auc,sensitivity,specificity,npv,ppv,acc
Spacer,1.000(1.000-1.000),0.943(0.812-1.000),1.000(1.000-1.000),0.995(0.982-1.000),1.000(1.000-1.000),0.996(0.983-1.000)
Dislocation,0.998(0.989-1.000),0.490(0.000-1.000),1.000(1.000-1.000),0.987(0.969-1.000),1.000(1.000-1.000),0.987(0.970-1.000)
Fracture,0.978(0.957-0.994),0.854(0.724-0.967),0.930(0.893-0.964),0.973(0.949-0.995),0.680(0.538-0.816),0.919(0.883-0.952)
Stem Loosening,0.976(0.912-1.000),0.750(0.000-1.000),0.978(0.955-0.996),0.996(0.986-1.000),0.377(0.000-0.778),0.974(0.948-0.991)
Good Place,0.924(0.888-0.953),0.708(0.623-0.786),0.856(0.795-0.917),0.796(0.725-0.858),0.788(0.704-0.872),0.793(0.735-0.843)
Acetabular Loosening,0.917(0.878-0.951),0.674(0.552-0.786),0.899(0.850-0.942),0.885(0.834-0.930),0.705(0.590-0.820),0.839(0.791-0.883)
Wear,0.813(0.595-0.959),0.454(0.125-0.800),0.960(0.931-0.982),0.977(0.957-0.995),0.317(0.083-0.600),0.940(0.909-0.965)
