model,split,class,auc,sensitivity,specificity,npv,ppv,acc
casgnet,val,Acetabular Loosening,0.919(0.878-0.957),0.659(0.535-0.783),0.939(0.900-0.977),0.874(0.819-0.924),0.811(0.696-0.929),0.859(0.811-0.908)
casgnet,val,Dislocation,0.988(0.960-1.000),0.699(0.400-1.000),1.000(1.000-1.000),0.985(0.965-1.000),1.000(1.000-1.000),0.985(0.966-1.000)
casgnet,val,Fracture,0.939(0.900-0.969),0.632(0.458-0.806),0.960(0.929-0.988),0.939(0.901-0.972),0.727(0.545-0.893),0.912(0.874-0.947)
casgnet,val,Good Place,0.894(0.845-0.936),0.895(0.817-0.962),0.762(0.687-0.829),0.937(0.890-0.981),0.649(0.547-0.742),0.806(0.749-0.860)
casgnet,val,Spacer,0.986(0.960-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
casgnet,val,Stem Loosening,0.922(0.860-0.975),0.677(0.450-0.882),0.973(0.948-0.995),0.968(0.941-0.990),0.714(0.499-0.917),0.945(0.913-0.971)
casgnet,val,Wear,0.963(0.921-0.994),0.326(0.000-0.667),0.995(0.985-1.000),0.971(0.946-0.990),0.740(0.000-1.000),0.966(0.942-0.986)
mobilenetv4_m,val,Acetabular Loosening,0.926(0.885-0.959),0.794(0.685-0.891),0.864(0.807-0.916),0.913(0.866-0.958),0.700(0.585-0.807),0.844(0.792-0.889)
mobilenetv4_m,val,Dislocation,0.976(0.941-1.000),0.596(0.250-0.889),1.000(1.000-1.000),0.980(0.960-0.995),1.000(1.000-1.000),0.981(0.961-0.995)
mobilenetv4_m,val,Fracture,0.947(0.911-0.973),0.568(0.385-0.742),0.972(0.945-0.994),0.930(0.891-0.962),0.773(0.588-0.945),0.913(0.874-0.947)
mobilenetv4_m,val,Good Place,0.863(0.810-0.909),0.808(0.712-0.900),0.754(0.685-0.823),0.889(0.828-0.946),0.618(0.511-0.713),0.772(0.715-0.826)
mobilenetv4_m,val,Spacer,0.992(0.971-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
mobilenetv4_m,val,Stem Loosening,0.960(0.923-0.988),0.525(0.300-0.750),0.990(0.973-1.000),0.954(0.919-0.980),0.838(0.583-1.000),0.947(0.913-0.976)
mobilenetv4_m,val,Wear,0.887(0.795-0.963),0.108(0.000-0.333),1.000(1.000-1.000),0.962(0.932-0.985),1.000(1.000-1.000),0.962(0.932-0.986)
starnet_s1,val,Acetabular Loosening,0.875(0.812-0.931),0.592(0.467-0.714),0.960(0.926-0.987),0.855(0.801-0.909),0.854(0.730-0.953),0.855(0.807-0.903)
starnet_s1,val,Dislocation,0.976(0.934-1.000),0.805(0.500-1.000),1.000(1.000-1.000),0.990(0.975-1.000),1.000(1.000-1.000),0.991(0.976-1.000)
