variant,ab_code,class,n,auc,sensitivity,specificity,ppv,npv,acc
casgnet_only_grn,ab010,Acetabular Loosening,58,0.915(0.870-0.953),0.759(0.640-0.867),0.890(0.845-0.931),0.667(0.551-0.781),0.927(0.886-0.961),0.860(0.814-0.903)
casgnet_only_grn,ab010,Dislocation,12,0.972(0.937-0.998),0.667(0.375-0.917),0.992(0.980-1.000),0.800(0.500-1.000),0.984(0.967-0.996),0.977(0.957-0.992)
casgnet_only_grn,ab010,Fracture,40,0.952(0.916-0.981),0.725(0.583-0.862),0.986(0.968-1.000),0.906(0.788-1.000),0.951(0.923-0.978),0.946(0.915-0.973)
casgnet_only_grn,ab010,Good Place,93,0.947(0.920-0.969),0.871(0.800-0.933),0.867(0.819-0.916),0.786(0.711-0.860),0.923(0.880-0.960),0.868(0.826-0.907)
casgnet_only_grn,ab010,Spacer,16,0.999(0.996-1.000),0.938(0.800-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.996(0.988-1.000),0.996(0.988-1.000)
casgnet_only_grn,ab010,Stem Loosening,22,0.941(0.867-0.991),0.773(0.591-0.938),0.966(0.941-0.987),0.680(0.500-0.857),0.979(0.957-0.996),0.950(0.922-0.973)
casgnet_only_grn,ab010,Wear,17,0.918(0.861-0.966),0.353(0.130-0.611),0.996(0.987-1.000),0.857(0.500-1.000),0.956(0.929-0.980),0.953(0.926-0.977)
