variant,ab_code,class,n,auc,sensitivity,specificity,ppv,npv,acc
casgnet_only_sa,ab100,Acetabular Loosening,58,0.898(0.850-0.941),0.672(0.543-0.793),0.925(0.887-0.961),0.722(0.600-0.841),0.907(0.868-0.944),0.868(0.826-0.911)
casgnet_only_sa,ab100,Dislocation,12,0.994(0.982-1.000),0.833(0.600-1.000),0.996(0.988-1.000),0.909(0.700-1.000),0.992(0.980-1.000),0.988(0.973-1.000)
casgnet_only_sa,ab100,Fracture,40,0.958(0.928-0.981),0.650(0.500-0.795),0.972(0.949-0.991),0.812(0.657-0.940),0.938(0.905-0.969),0.922(0.888-0.953)
casgnet_only_sa,ab100,Good Place,93,0.901(0.862-0.937),0.871(0.800-0.935),0.788(0.728-0.852),0.698(0.617-0.783),0.915(0.869-0.957),0.818(0.771-0.864)
casgnet_only_sa,ab100,Spacer,16,0.999(0.995-1.000),0.938(0.800-1.000),0.992(0.979-1.000),0.882(0.692-1.000),0.996(0.987-1.000),0.988(0.973-1.000)
casgnet_only_sa,ab100,Stem Loosening,22,0.977(0.952-0.996),0.591(0.375-0.800),1.000(1.000-1.000),1.000(1.000-1.000),0.963(0.939-0.988),0.965(0.942-0.988)
casgnet_only_sa,ab100,Wear,17,0.860(0.761-0.946),0.471(0.238-0.727),0.971(0.947-0.988),0.533(0.267-0.786),0.963(0.939-0.984),0.938(0.911-0.965)
