class,model,auc,sensitivity,specificity,npv,ppv,acc
,Spacer,0.998(0.994-1.000),0.852(0.625-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.992(0.979-1.000)
,Dislocation,0.983(0.949-1.000),0.919(0.727-1.000),0.987(0.969-1.000),0.996(0.986-1.000),0.790(0.555-1.000),0.984(0.967-0.996)
,Stem Loosening,0.941(0.894-0.978),0.453(0.238-0.667),0.991(0.976-1.000),0.947(0.916-0.974),0.831(0.571-1.000),0.941(0.908-0.971)
,Wear,0.894(0.744-0.985),0.696(0.357-1.000),0.961(0.934-0.983),0.987(0.969-1.000),0.437(0.182-0.692),0.950(0.921-0.975)
,Fracture,0.891(0.833-0.938),0.429(0.267-0.588),0.951(0.920-0.977),0.906(0.866-0.943),0.599(0.400-0.792),0.874(0.833-0.912)
,Good Place,0.808(0.756-0.861),0.457(0.342-0.571),0.808(0.745-0.869),0.752(0.686-0.816),0.538(0.419-0.656),0.693(0.637-0.750)
,Acetabular Loosening,0.753(0.683-0.817),0.559(0.448-0.686),0.675(0.602-0.742),0.796(0.727-0.860),0.404(0.309-0.500),0.643(0.579-0.704)
