class,model,auc,sensitivity,specificity,npv,ppv,acc
,Dislocation,0.999(0.997-1.000),0.901(0.667-1.000),1.000(1.000-1.000),0.995(0.985-1.000),1.000(1.000-1.000),0.995(0.986-1.000)
,Fracture,0.998(0.993-1.000),0.932(0.829-1.000),0.994(0.982-1.000),0.988(0.971-1.000),0.967(0.889-1.000),0.985(0.966-1.000)
,Spacer,0.997(0.987-1.000),0.916(0.700-1.000),0.995(0.984-1.000),0.995(0.984-1.000),0.923(0.750-1.000),0.991(0.976-1.000)
,Stem Loosening,0.956(0.918-0.985),0.784(0.579-0.950),0.953(0.920-0.979),0.978(0.956-0.995),0.627(0.435-0.813),0.938(0.903-0.966)
,Wear,0.937(0.814-1.000),0.891(0.636-1.000),0.970(0.944-0.990),0.995(0.984-1.000),0.573(0.308-0.846),0.967(0.942-0.990)
,Good Place,0.791(0.733-0.848),0.429(0.314-0.541),0.806(0.739-0.870),0.742(0.675-0.805),0.521(0.393-0.656),0.682(0.623-0.744)
,Acetabular Loosening,0.783(0.716-0.843),0.497(0.367-0.628),0.770(0.699-0.833),0.794(0.728-0.858),0.462(0.345-0.591),0.692(0.628-0.749)
