class,model,auc,sensitivity,specificity,npv,ppv,acc
,Spacer,0.998(0.994-1.000),0.787(0.538-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.988(0.971-1.000)
,Dislocation,0.968(0.902-1.000),0.833(0.571-1.000),0.996(0.987-1.000),0.991(0.978-1.000),0.906(0.667-1.000),0.987(0.971-1.000)
,Fracture,0.961(0.937-0.980),0.600(0.423-0.757),0.937(0.902-0.967),0.932(0.895-0.962),0.620(0.459-0.786),0.887(0.850-0.925)
,Stem Loosening,0.927(0.882-0.963),0.549(0.333-0.762),0.917(0.881-0.950),0.952(0.923-0.981),0.402(0.235-0.577),0.883(0.842-0.921)
,Wear,0.859(0.732-0.971),0.398(0.111-0.714),0.970(0.945-0.991),0.974(0.951-0.991),0.366(0.091-0.692),0.946(0.917-0.971)
,Acetabular Loosening,0.845(0.791-0.893),0.440(0.328-0.557),0.901(0.852-0.944),0.803(0.746-0.859),0.636(0.491-0.778),0.771(0.717-0.825)
,Good Place,0.811(0.753-0.862),0.631(0.525-0.741),0.714(0.637-0.783),0.798(0.728-0.863),0.520(0.419-0.625),0.687(0.625-0.746)
