class,model,auc,sensitivity,specificity,npv,ppv,acc
,Dislocation,0.994(0.978-1.000),0.751(0.467-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.987(0.971-1.000)
,Spacer,0.992(0.971-1.000),0.787(0.500-1.000),1.000(1.000-1.000),0.987(0.970-1.000),1.000(1.000-1.000),0.988(0.971-1.000)
,Fracture,0.912(0.871-0.951),0.399(0.242-0.568),0.951(0.919-0.978),0.902(0.863-0.940),0.583(0.375-0.786),0.870(0.829-0.908)
,Wear,0.912(0.811-0.983),0.495(0.167-0.800),0.996(0.987-1.000),0.978(0.957-0.996),0.836(0.500-1.000),0.975(0.954-0.992)
,Stem Loosening,0.874(0.783-0.955),0.541(0.333-0.750),0.967(0.941-0.987),0.954(0.925-0.978),0.628(0.400-0.846),0.928(0.892-0.958)
,Acetabular Loosening,0.846(0.799-0.890),0.499(0.371-0.614),0.838(0.780-0.888),0.809(0.750-0.864),0.548(0.425-0.672),0.742(0.688-0.796)
,Good Place,0.737(0.672-0.800),0.594(0.486-0.700),0.613(0.538-0.693),0.755(0.683-0.829),0.430(0.340-0.519),0.607(0.546-0.671)
