class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.999(0.994-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),densenet121,val
Fracture,0.961(0.937-0.984),0.769(0.609-0.914),0.943(0.908-0.973),0.960(0.929-0.988),0.699(0.548-0.844),0.918(0.879-0.952),densenet121,val
Dislocation,0.956(0.864-1.000),0.805(0.500-1.000),1.000(1.000-1.000),0.990(0.975-1.000),1.000(1.000-1.000),0.991(0.976-1.000),densenet121,val
Stem Loosening,0.955(0.923-0.983),0.731(0.500-0.941),0.957(0.926-0.984),0.972(0.946-0.995),0.633(0.435-0.833),0.937(0.903-0.966),densenet121,val
Acetabular Loosening,0.916(0.865-0.955),0.797(0.690-0.897),0.912(0.865-0.956),0.919(0.873-0.959),0.783(0.672-0.883),0.880(0.836-0.923),densenet121,val
Good Place,0.886(0.836-0.930),0.734(0.632-0.838),0.878(0.819-0.931),0.871(0.814-0.924),0.747(0.632-0.849),0.831(0.778-0.889),densenet121,val
Wear,0.855(0.708-0.972),0.439(0.091-0.800),0.985(0.965-1.000),0.975(0.955-0.995),0.565(0.141-1.000),0.961(0.937-0.986),densenet121,val
