model,epoch,train_loss,val_auc
resnet50,1,2.094979904385326,0.49653974539249696
resnet50,2,1.792105789351377,0.5792221450326335
resnet50,3,1.7576649574376417,0.5686110610846741
resnet50,4,1.7099603469179105,0.6089497025370116
resnet50,5,1.7085390891902266,0.6094206248458544
resnet50,6,1.6955236577585033,0.5968029155806889
resnet50,7,1.6765493084064296,0.5482629844392439
resnet50,8,1.681213009918268,0.6150499940436388
resnet50,9,1.636566346459567,0.5133013400977365
resnet50,10,1.63505578256775,0.6051413898116663
resnet50,11,1.6170698690471947,0.5821218024892557
resnet50,12,1.6306199447956247,0.6100946149252771
resnet50,13,1.6073470662097449,0.6477742752706313
resnet50,14,1.5823476338990492,0.624072322597731
resnet50,15,1.6128323312547728,0.6231812217502151
resnet50,16,1.5910985891148897,0.6455764354277537
resnet50,17,1.5369834881208486,0.6362483161168845
resnet50,18,1.555203667164424,0.7114021383470343
resnet50,19,1.535285903403785,0.6964396986305816
resnet50,20,1.5073866786657686,0.6438943287524408
resnet50,21,1.4937561431178425,0.693419107216175
resnet50,22,1.5182515730760067,0.5561653662920076
resnet50,23,1.5092842882303623,0.6618153087407308
resnet50,24,1.5162844584560509,0.5708210219742899
resnet50,25,1.4734686368624752,0.6056137803796163
resnet50,26,1.522968068485237,0.4631709464345886
resnet50,27,1.4677180424242744,0.47394299977909427
resnet50,28,1.50393905829463,0.651853414301117
resnet50,29,1.4611606170817653,0.677745580671109
resnet50,30,1.4680711350193645,0.5595416605560952
resnet50,31,1.4211849130968708,0.6974287585828904
resnet50,32,1.429565208668588,0.665222984331499
resnet50,33,1.4278851688555267,0.8010064143372997
resnet50,34,1.3907840575470136,0.5144838473679847
resnet50,35,1.4119295196740274,0.696495935952654
resnet50,36,1.369940972587024,0.802629633465325
resnet50,37,1.3746672730681693,0.8071110890864409
resnet50,38,1.3622558906368814,0.7942916340040684
resnet50,39,1.3586950044723989,0.8021290259139596
resnet50,40,1.2799895961552104,0.7540985749115571
resnet50,41,1.3355594739695367,0.800712019746143
resnet50,42,1.3890834194040702,0.7805207300774073
resnet50,43,1.300998993029209,0.7996286708631094
resnet50,44,1.283911192661603,0.7567499814179802
resnet50,45,1.3197218444292738,0.730786565254976
resnet50,46,1.286701943100721,0.7819074358730685
resnet50,47,1.3008650710988245,0.8121256032839136
resnet50,48,1.2842771247730325,0.8080806813174009
resnet50,49,1.2471879443155987,0.7325744208477195
resnet50,50,1.2409195183844848,0.8321434042773056
resnet50,51,1.2463478451039736,0.7325576282356575
resnet50,52,1.2210506095817206,0.5943210039034214
resnet50,53,1.2166176966792568,0.8375405588949597
resnet50,54,1.2280721013019686,0.8507155067624396
