model,epoch,train_loss,val_auc
mobilenetv4_m,1,1.821441758814997,0.4499910930288634
mobilenetv4_m,2,1.7578923109788516,0.5573421833383316
mobilenetv4_m,3,1.7654918862194433,0.562541778779179
mobilenetv4_m,4,1.7248152308929958,0.5538262089467322
mobilenetv4_m,5,1.8021326364165193,0.5914454481535546
mobilenetv4_m,6,1.7345759228716713,0.6302645334808046
mobilenetv4_m,7,1.717575536562249,0.5694595357947868
mobilenetv4_m,8,1.760767144805991,0.5014083803643371
mobilenetv4_m,9,1.767736861444066,0.6042482050122155
mobilenetv4_m,10,1.6810426410058439,0.6002414882829233
mobilenetv4_m,11,1.7187913756893973,0.5946579679356253
mobilenetv4_m,12,1.638400345717178,0.6127387073914635
mobilenetv4_m,13,1.6547262575140333,0.6217379329507631
mobilenetv4_m,14,1.6202112628985084,0.6254043009261064
mobilenetv4_m,15,1.6130474905053152,0.652884011687411
mobilenetv4_m,16,1.5960848693824647,0.6159919450710287
mobilenetv4_m,17,1.5863269376237086,0.667010353076852
mobilenetv4_m,18,1.5220537172727044,0.6635352877917556
mobilenetv4_m,19,1.6078702497539819,0.6558577149695031
mobilenetv4_m,20,1.507842392628098,0.6758512212984312
mobilenetv4_m,21,1.5480530914840422,0.6508986244796526
mobilenetv4_m,22,1.503501019374309,0.735461700907532
mobilenetv4_m,23,1.452854889149545,0.7004547594697075
mobilenetv4_m,24,1.4633149634799567,0.718524057127485
mobilenetv4_m,25,1.488194484618662,0.6511803382976089
mobilenetv4_m,26,1.5429024709291999,0.6361983606755874
mobilenetv4_m,27,1.5157947070060795,0.6822001678507951
mobilenetv4_m,28,1.5235724548378957,0.6929166220314975
mobilenetv4_m,29,1.4650615020885398,0.6865650571057166
mobilenetv4_m,30,1.509241324713492,0.7209988499607948
mobilenetv4_m,31,1.4059118176254346,0.7455530586659538
mobilenetv4_m,32,1.364365876080475,0.7299998047557664
mobilenetv4_m,33,1.3278912078629646,0.7231332671495501
mobilenetv4_m,34,1.3808680332756733,0.7488477218562349
mobilenetv4_m,35,1.316952492848524,0.7921089204753686
mobilenetv4_m,36,1.248180738835628,0.8064130031777641
mobilenetv4_m,37,1.2887599942767578,0.7179580394468618
mobilenetv4_m,38,1.307807461919198,0.703678339491052
mobilenetv4_m,39,1.2999034858296374,0.7960139891303601
mobilenetv4_m,40,1.2340997033297512,0.7704982819276724
mobilenetv4_m,41,1.2640684592853266,0.7402440256672034
mobilenetv4_m,42,1.2704348516694313,0.7571850807354553
mobilenetv4_m,43,1.2881197036391145,0.6695346358803936
mobilenetv4_m,44,1.2069135183879636,0.8309381078079532
mobilenetv4_m,45,1.2088388536750048,0.8399938309772287
