variant,ab_code,SA,GRN,SK_UNIT,AUC,SENSITIVITY,SPECIFICITY,NPV,PPV,ACC,n,auc_point,target_auc,auc_delta
casgnet_full,ab111,√,√,√,0.962(0.948-0.976),0.753(0.690-0.816),0.956(0.946-0.965),0.965(0.957-0.973),0.856(0.802-0.906),0.938(0.924-0.952),258,0.962,0.962,0.0
casgnet_no_sa,ab011,×,√,√,0.954(0.936-0.969),0.731(0.674-0.788),0.952(0.941-0.962),0.954(0.943-0.964),0.787(0.713-0.855),0.928(0.913-0.944),258,0.9538,0.96,-0.0062
casgnet_no_grn,ab101,√,×,√,0.951(0.934-0.967),0.735(0.672-0.794),0.952(0.942-0.962),0.959(0.949-0.968),0.792(0.725-0.856),0.931(0.916-0.946),258,0.9506,0.955,-0.0044
casgnet_no_skunit,ab110,√,√,×,0.953(0.935-0.968),0.775(0.711-0.835),0.962(0.953-0.971),0.965(0.956-0.974),0.823(0.764-0.881),0.945(0.931-0.958),258,0.9522,0.954,-0.0018
casgnet_only_sa,ab100,√,×,×,0.941(0.920-0.959),0.719(0.652-0.780),0.949(0.939-0.959),0.954(0.944-0.963),0.795(0.736-0.855),0.927(0.913-0.941),258,0.941,0.957,-0.016
casgnet_only_skunit,ab001,×,×,√,0.960(0.944-0.972),0.720(0.671-0.765),0.955(0.945-0.965),0.960(0.951-0.970),0.766(0.657-0.858),0.934(0.918-0.948),258,0.9594,0.952,0.0074
casgnet_only_grn,ab010,×,√,×,0.950(0.930-0.967),0.728(0.660-0.796),0.957(0.947-0.967),0.960(0.950-0.969),0.814(0.745-0.876),0.936(0.920-0.951),258,0.9491,0.95,-0.0009
starnet_s1_baseline,ab000,×,×,×,0.952(0.929-0.972),0.801(0.740-0.857),0.966(0.957-0.975),0.966(0.957-0.974),0.830(0.773-0.878),0.947(0.934-0.960),258,0.952,0.943,0.009
