class,auc,sensitivity,specificity,npv,ppv,acc
Dislocation,1.000(1.000-1.000),1.000(1.000-1.000),0.995(0.986-1.000),1.000(1.000-1.000),0.849(0.500-1.000),0.996(0.987-1.000)
Spacer,1.000(1.000-1.000),1.000(1.000-1.000),0.958(0.927-0.981),1.000(1.000-1.000),0.654(0.444-0.833),0.961(0.935-0.983)
Fracture,0.979(0.960-0.994),0.941(0.833-1.000),0.919(0.877-0.954),0.989(0.973-1.000),0.671(0.540-0.796),0.922(0.887-0.957)
Stem Loosening,0.934(0.857-1.000),0.491(0.000-1.000),0.951(0.921-0.978),0.991(0.977-1.000),0.150(0.000-0.385),0.943(0.913-0.970)
Acetabular Loosening,0.922(0.883-0.958),0.509(0.379-0.633),0.930(0.890-0.965),0.840(0.789-0.891),0.722(0.578-0.848),0.818(0.769-0.865)
Good Place,0.916(0.881-0.946),0.649(0.553-0.741),0.871(0.813-0.926),0.767(0.696-0.830),0.791(0.699-0.871),0.776(0.717-0.830)
Wear,0.803(0.602-0.950),0.454(0.125-0.800),0.964(0.936-0.987),0.977(0.957-0.995),0.345(0.091-0.667),0.944(0.913-0.974)
