class,model,auc,sensitivity,specificity,npv,ppv,acc
,Dislocation,0.995(0.981-1.000),0.832(0.571-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.992(0.979-1.000)
,Spacer,0.985(0.955-1.000),0.851(0.625-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.991(0.979-1.000)
,Wear,0.983(0.958-0.999),0.699(0.333-1.000),0.996(0.987-1.000),0.987(0.970-1.000),0.871(0.571-1.000),0.983(0.963-0.996)
,Fracture,0.976(0.956-0.992),0.853(0.724-0.968),0.966(0.940-0.990),0.974(0.950-0.995),0.812(0.676-0.939),0.949(0.917-0.975)
,Stem Loosening,0.926(0.871-0.968),0.454(0.235-0.667),0.963(0.936-0.986),0.946(0.915-0.973),0.556(0.312-0.765),0.916(0.883-0.950)
,Acetabular Loosening,0.920(0.884-0.952),0.486(0.368-0.612),0.958(0.926-0.984),0.826(0.771-0.876),0.822(0.698-0.927),0.825(0.775-0.871)
,Good Place,0.882(0.838-0.921),0.861(0.782-0.934),0.708(0.640-0.779),0.912(0.856-0.960),0.591(0.504-0.683),0.758(0.704-0.812)
