variant,ab_code,class,n,auc,sensitivity,specificity,ppv,npv,acc
casgnet_full,ab111,Acetabular Loosening,58,0.913(0.864-0.955),0.501(0.375-0.625),0.980(0.958-0.995),0.880(0.758-0.971),0.872(0.827-0.915),0.873(0.829-0.911)
casgnet_full,ab111,Dislocation,12,1.000(0.998-1.000),0.838(0.600-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.992(0.980-1.000),0.993(0.981-1.000)
casgnet_full,ab111,Fracture,40,0.962(0.937-0.982),0.799(0.674-0.912),0.950(0.922-0.977),0.747(0.609-0.875),0.963(0.938-0.986),0.927(0.895-0.954)
casgnet_full,ab111,Good Place,93,0.964(0.945-0.981),0.990(0.967-1.000),0.783(0.725-0.839),0.719(0.640-0.790),0.993(0.976-1.000),0.857(0.814-0.895)
casgnet_full,ab111,Spacer,16,0.999(0.998-1.000),0.938(0.786-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.996(0.987-1.000),0.996(0.988-1.000)
casgnet_full,ab111,Stem Loosening,22,0.973(0.950-0.992),0.729(0.536-0.897),0.987(0.971-1.000),0.845(0.667-1.000),0.975(0.953-0.992),0.965(0.942-0.984)
casgnet_full,ab111,Wear,17,0.926(0.867-0.974),0.475(0.231-0.733),0.992(0.979-1.000),0.800(0.500-1.000),0.964(0.940-0.984),0.958(0.930-0.981)
