class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.998(0.993-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),resnet18,val
Dislocation,0.975(0.939-1.000),0.599(0.250-0.889),0.995(0.980-1.000),0.980(0.959-0.995),0.856(0.500-1.000),0.976(0.952-0.995),resnet18,val
Stem Loosening,0.947(0.905-0.975),0.521(0.286-0.750),0.969(0.940-0.989),0.952(0.918-0.983),0.625(0.385-0.857),0.927(0.889-0.961),resnet18,val
Acetabular Loosening,0.915(0.871-0.952),0.778(0.660-0.881),0.851(0.792-0.909),0.906(0.853-0.950),0.676(0.557-0.784),0.831(0.773-0.879),resnet18,val
Fracture,0.910(0.845-0.962),0.534(0.344-0.710),0.977(0.954-0.995),0.925(0.885-0.958),0.800(0.600-0.955),0.913(0.874-0.947),resnet18,val
Wear,0.908(0.827-0.964),0.000(0.000-0.000),0.995(0.985-1.000),0.957(0.928-0.981),0.000(0.000-0.000),0.952(0.923-0.981),resnet18,val
Good Place,0.886(0.839-0.927),0.807(0.701-0.901),0.782(0.712-0.851),0.892(0.829-0.945),0.645(0.538-0.745),0.790(0.734-0.845),resnet18,val
