class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Dislocation,0.991(0.974-1.000),0.902(0.667-1.000),0.995(0.984-1.000),0.995(0.985-1.000),0.904(0.667-1.000),0.991(0.976-1.000),lsnet_b,val
Spacer,0.964(0.897-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),lsnet_b,val
Wear,0.948(0.904-0.983),0.329(0.000-0.667),0.979(0.956-0.995),0.970(0.946-0.990),0.424(0.000-0.876),0.952(0.918-0.976),lsnet_b,val
Stem Loosening,0.935(0.885-0.975),0.682(0.444-0.875),0.963(0.933-0.984),0.968(0.938-0.989),0.650(0.417-0.850),0.937(0.903-0.966),lsnet_b,val
Fracture,0.909(0.849-0.961),0.402(0.227-0.588),0.977(0.953-0.994),0.905(0.862-0.946),0.748(0.521-0.941),0.893(0.850-0.932),lsnet_b,val
Good Place,0.865(0.812-0.913),0.765(0.656-0.866),0.791(0.723-0.860),0.873(0.811-0.929),0.643(0.534-0.753),0.783(0.725-0.841),lsnet_b,val
Acetabular Loosening,0.840(0.765-0.895),0.658(0.527-0.774),0.838(0.776-0.895),0.861(0.803-0.916),0.617(0.491-0.737),0.787(0.725-0.841),lsnet_b,val
