variant,ab_code,class,n,auc,sensitivity,specificity,ppv,npv,acc
casgnet_no_skunit,ab110,Acetabular Loosening,58,0.907(0.858-0.952),0.741(0.635-0.851),0.940(0.903-0.970),0.782(0.662-0.887),0.926(0.893-0.959),0.895(0.857-0.930)
casgnet_no_skunit,ab110,Dislocation,12,0.978(0.942-1.000),0.833(0.600-1.000),0.996(0.988-1.000),0.909(0.714-1.000),0.992(0.979-1.000),0.988(0.973-1.000)
casgnet_no_skunit,ab110,Fracture,40,0.951(0.909-0.981),0.800(0.657-0.917),0.977(0.954-0.995),0.865(0.737-0.969),0.964(0.937-0.987),0.950(0.919-0.973)
casgnet_no_skunit,ab110,Good Place,93,0.954(0.932-0.975),0.903(0.843-0.959),0.861(0.809-0.909),0.785(0.700-0.860),0.940(0.903-0.974),0.876(0.837-0.915)
casgnet_no_skunit,ab110,Spacer,16,0.993(0.978-1.000),0.938(0.800-1.000),1.000(1.000-1.000),1.000(1.000-1.000),0.996(0.988-1.000),0.996(0.988-1.000)
casgnet_no_skunit,ab110,Stem Loosening,22,0.983(0.966-0.996),0.727(0.552-0.900),0.987(0.970-1.000),0.842(0.667-1.000),0.975(0.954-0.992),0.965(0.942-0.984)
casgnet_no_skunit,ab110,Wear,17,0.899(0.818-0.962),0.471(0.250-0.714),0.975(0.954-0.992),0.571(0.300-0.833),0.963(0.939-0.984),0.942(0.911-0.969)
