model,epoch,train_loss,val_auc
resnet18,1,1.9358531199260844,0.5889847502115576
resnet18,2,1.7400270487632337,0.6005134743791096
resnet18,3,1.740293863311464,0.6120988958584963
resnet18,4,1.7177472266989824,0.5916794690892478
resnet18,5,1.7134631324303309,0.582107211091846
resnet18,6,1.6839171097275718,0.6493523691111701
resnet18,7,1.660137697497093,0.6200402882300621
resnet18,8,1.6380057158027252,0.6189132135708579
resnet18,9,1.6496154988775495,0.7013808113328006
resnet18,10,1.6278439898255075,0.6553654653722704
resnet18,11,1.612393330751196,0.5119726972321286
resnet18,12,1.5668449817434296,0.6629119581980288
resnet18,13,1.6317325666528846,0.6997446250379643
resnet18,14,1.5507018826407604,0.6483112185815026
resnet18,15,1.5477406821866375,0.681160157019797
resnet18,16,1.5223649011158684,0.7545894804864509
resnet18,17,1.481936502082788,0.7252210437109989
resnet18,18,1.4197234931987215,0.6433644636405665
resnet18,19,1.4707977681165725,0.6926668785740889
resnet18,20,1.4097469425316456,0.7941662056166116
resnet18,21,1.3509077782797727,0.7267068715264705
resnet18,22,1.3655119981926802,0.8090865086454642
resnet18,23,1.2943822891778336,0.8061354008269689
resnet18,24,1.2564476545814727,0.7649312836245324
resnet18,25,1.2993200002159515,0.7929206178672442
resnet18,26,1.2568620377196622,0.8501613875874606
resnet18,27,1.2771446771011996,0.8272443568592778
resnet18,28,1.2587758184773499,0.8244156750786648
resnet18,29,1.2207510165052333,0.8143149872775493
resnet18,30,1.166948150668127,0.8302097068023391
resnet18,31,1.1775499401823029,0.8100837999893437
resnet18,32,1.1776294322870897,0.8757119169604914
resnet18,33,1.1267064001649367,0.7067346751320437
resnet18,34,1.1601267873306182,0.8629546800766653
resnet18,35,1.1390778968072484,0.8561230119446265
resnet18,36,1.1101724421302142,0.8711233185690749
resnet18,37,1.0689487475250254,0.8655501753313921
resnet18,38,1.0802329160335986,0.8157781704838776
resnet18,39,1.1247854470056273,0.8958582578078538
resnet18,40,1.0581044651774647,0.7577789178193802
resnet18,41,1.0960065316233618,0.8637917366102582
resnet18,42,1.077299667209998,0.8900625656300957
resnet18,43,1.055904819536842,0.8754303988915851
resnet18,44,1.0575806010330255,0.8803727313659248
resnet18,45,1.0810379822377847,0.8769827683196071
resnet18,46,1.0326255325529055,0.8990667277494934
resnet18,47,0.9775467363283918,0.8960754765637152
resnet18,48,1.0031653530491276,0.8686555841925975
resnet18,49,1.0075783436203463,0.8882458655500246
resnet18,50,1.0282620719316067,0.881647666187197
resnet18,51,1.023893407012355,0.8914738788696329
resnet18,52,1.0369182003996773,0.808110475167415
resnet18,53,1.0023935863566198,0.8996287319996965
resnet18,54,1.019234732782021,0.8970208969360537
resnet18,55,0.9547270540017702,0.9074441472286602
resnet18,56,0.9451962673477154,0.9071760984185853
resnet18,57,0.9633842351497011,0.8839517703011123
resnet18,58,0.9403757133012226,0.8881418460390806
resnet18,59,0.895565961468493,0.7530633246670687
resnet18,60,0.9610206944951102,0.8834226356680176
resnet18,61,0.9083516855866831,0.9043611145456667
resnet18,62,0.9067808454373202,0.9086968920629618
resnet18,63,0.9335621592506712,0.8934083955476143
resnet18,64,0.9093158813092331,0.9179153448309195
resnet18,65,0.8933901765953358,0.9115080300934645
resnet18,66,0.8840922555819927,0.8855355182360994
resnet18,67,0.8610592553497655,0.8909983677934852
resnet18,68,0.8676026225521424,0.8905082358017596
resnet18,69,0.7988344791858706,0.904234443801905
resnet18,70,0.9082628046359027,0.8825035907808615
resnet18,71,0.9046181773966846,0.9157561423530158
resnet18,72,0.885831762208582,0.8977811128534993
resnet18,73,0.8688390889846517,0.8990080431664955
resnet18,74,0.8333525820865562,0.8988368180747791
resnet18,75,0.8399151386052766,0.9128189413401354
resnet18,76,0.8849412184141225,0.9159298324206071
resnet18,77,0.8077709599340782,0.9052429924362168
resnet18,78,0.772687152657204,0.9118504287914851
resnet18,79,0.7904467338963498,0.9139234453421875
resnet18,80,0.7865024443414732,0.9032129359664997
resnet18,81,0.8039619521439003,0.9342873347825148
resnet18,82,0.7764750409902795,0.9201290746906553
resnet18,83,0.7719520536061507,0.9258361256236759
resnet18,84,0.743686229889298,0.9164161388688613
resnet18,85,0.7805568020076314,0.917677716685808
resnet18,86,0.7468088165698494,0.8808260311685497
resnet18,87,0.7642020002205208,0.8959182467012399
resnet18,88,0.7764336983027302,0.8803960322576307
resnet18,89,0.7308481993160432,0.89905706080608
resnet18,90,0.7430312413502085,0.9061503754924652
resnet18,91,0.7602629019497962,0.8986238516799695
resnet18,92,0.6942957220520415,0.9178542385538362
resnet18,93,0.725946107373738,0.8883915792609578
resnet18,94,0.7406789252064916,0.8903810849078662
resnet18,95,0.7069733793542814,0.8847883125511691
resnet18,96,0.7037662164149727,0.9181993681286889
resnet18,97,0.7180084410708834,0.9054228959877099
resnet18,98,0.6818118372210835,0.9108947926472173
resnet18,99,0.6937806853626836,0.9025385613871949
resnet18,100,0.6907905760087495,0.9070704872024471
resnet18,101,0.6391962312961804,0.9230479911686549
resnet18,102,0.6799600202729532,0.9002486294085783
resnet18,103,0.7013535800112458,0.9241682491540016
resnet18,104,0.6633411793283156,0.9082376433082807
resnet18,105,0.6733479384777773,0.8965101323902316
resnet18,106,0.6566037519130545,0.9031324812211649
resnet18,107,0.6676648084447238,0.9217806719916846
resnet18,108,0.651078731936051,0.9041480906958353
resnet18,109,0.6196055828590301,0.9153489615312582
resnet18,110,0.5955674097535119,0.9024420603200498
resnet18,111,0.6114785781959285,0.9135827876319552
resnet18,112,0.62059464831404,0.7845751809882789
resnet18,113,0.6553456130447664,0.9180386553735761
resnet18,114,0.6051777020294502,0.9014621124046768
resnet18,115,0.6542526981079967,0.9159242283405484
resnet18,116,0.5756691566278621,0.9148415390383642
resnet18,117,0.6158391965959846,0.9104179013079945
resnet18,118,0.6180413838102964,0.9145801397819727
resnet18,119,0.53603991179472,0.8992728027598843
resnet18,120,0.5365381172540248,0.9228699492175323
resnet18,121,0.551882179280961,0.9131811778002833
resnet18,122,0.5650795209249627,0.924804330165261
resnet18,123,0.5266272100306535,0.9164207036893967
resnet18,124,0.505672557146903,0.9146682679613117
resnet18,125,0.5543183414726119,0.9229488900673735
resnet18,126,0.5785221553826648,0.8585955331802229
resnet18,127,0.5965865605990476,0.9106709443166576
resnet18,128,0.542813088947096,0.8968904509424808
resnet18,129,0.540578996387408,0.9115427923062515
resnet18,130,0.5038400994854181,0.8980685414024612
resnet18,131,0.506397469268058,0.9265208411697545
resnet18,132,0.4894616588033439,0.9175284392447501
resnet18,133,0.5339738552619234,0.8895323952829387
resnet18,134,0.4964025835939138,0.8691675326454531
resnet18,135,0.5281045091382269,0.9155224790562012
resnet18,136,0.507374968474104,0.8944899482408911
resnet18,137,0.5208009660100189,0.877535278397913
resnet18,138,0.49475022959910486,0.917652947557363
resnet18,139,0.4894428065875759,0.9093107785939648
resnet18,140,0.4790436058193984,0.8974598000199812
resnet18,141,0.4364421852966557,0.9146739758901735
resnet18,142,0.4312068601425364,0.8998538821762313
resnet18,143,0.4805207334827313,0.8954919604714391
resnet18,144,0.46440014530723717,0.9115364214000087
resnet18,145,0.5125610548351297,0.9115668149130892
resnet18,146,0.45674889150948517,0.8832442326947086
resnet18,147,0.43252603830129305,0.9060742056671539
resnet18,148,0.45055063573960374,0.8962828155413535
resnet18,149,0.42912570192097754,0.9084531938958673
resnet18,150,0.46579092205361666,0.9062719648705594
resnet18,151,0.4555063933241928,0.9091478804281116
resnet18,152,0.47050244816824954,0.8985248263514461
resnet18,153,0.45748410056669836,0.9106965703725752
resnet18,154,0.415263452166096,0.9129930186975221
resnet18,155,0.41354417667889337,0.9015927674038793
resnet18,156,0.40262184927489414,0.896441201413933
resnet18,157,0.4071281193177001,0.9106446838082604
resnet18,158,0.44267567834031596,0.8984794816945084
resnet18,159,0.39281672030795184,0.8918774425802837
resnet18,160,0.41894905299703233,0.9051154371355049
resnet18,161,0.3742136157177326,0.917479298362638
resnet18,162,0.4253149508207641,0.9148420963778632
resnet18,163,0.38813459693450836,0.9153339040587746
resnet18,164,0.34438775226347984,0.9175769071849661
resnet18,165,0.34522083308210705,0.9031125950409711
resnet18,166,0.3616257525611988,0.8914041400008997
resnet18,167,0.3661588505539589,0.9082347307102908
resnet18,168,0.4137214983401166,0.9101219487989288
resnet18,169,0.3393537692087551,0.8935034287014229
resnet18,170,0.3282831928482677,0.8957288361968013
resnet18,171,0.32508797682956564,0.9006175485685581
resnet18,172,0.32099784905286405,0.9055479244723321
resnet18,173,0.3678598208364158,0.9067232465125689
resnet18,174,0.3899127359628965,0.9067061684155099
resnet18,175,0.34994740890219933,0.9092515802231841
resnet18,176,0.30811820021943964,0.902530079245378
resnet18,177,0.3786654622441178,0.8911731388593859
resnet18,178,0.3468770015584833,0.9184598405200516
resnet18,179,0.31245947193322915,0.9098150125604192
resnet18,180,0.31154551081116727,0.9038256167574791
resnet18,181,0.30964632841013595,0.9070091715246126
resnet18,182,0.3214351560008253,0.8953318566096823
resnet18,183,0.36448564280646845,0.9240758745832143
resnet18,184,0.3864216465857981,0.9066873329135718
resnet18,185,0.3143827308719782,0.9060288563601052
resnet18,186,0.358854691103658,0.9161755903540733
resnet18,187,0.36676043868783875,0.9243297610843432
resnet18,188,0.3312041581719575,0.9183076705674574
resnet18,189,0.3229685808622938,0.899482477278157
resnet18,190,0.3169546190590853,0.9275120453339546
resnet18,191,0.2937549965588693,0.9112749404176164
resnet18,192,0.2949821246008246,0.8921682987767589
resnet18,193,0.30734538557446045,0.9118987391873026
resnet18,194,0.30829522669746734,0.9205116862412627
resnet18,195,0.31381534462383487,0.9020292646753069
