class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.982(0.939-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),starnet_s1,val
Dislocation,0.976(0.934-1.000),0.805(0.500-1.000),1.000(1.000-1.000),0.990(0.975-1.000),1.000(1.000-1.000),0.991(0.976-1.000),starnet_s1,val
Wear,0.953(0.893-0.992),0.329(0.000-0.667),0.990(0.975-1.000),0.971(0.946-0.990),0.604(0.000-1.000),0.962(0.937-0.986),starnet_s1,val
Stem Loosening,0.937(0.884-0.975),0.321(0.105-0.542),0.974(0.949-0.995),0.934(0.894-0.969),0.552(0.250-0.857),0.914(0.874-0.952),starnet_s1,val
Fracture,0.921(0.863-0.965),0.637(0.458-0.808),0.932(0.894-0.966),0.938(0.899-0.971),0.615(0.441-0.778),0.889(0.845-0.928),starnet_s1,val
Good Place,0.904(0.860-0.942),0.898(0.823-0.964),0.713(0.635-0.791),0.935(0.886-0.979),0.606(0.505-0.705),0.774(0.715-0.831),starnet_s1,val
Acetabular Loosening,0.875(0.812-0.931),0.592(0.467-0.714),0.960(0.926-0.987),0.855(0.801-0.909),0.854(0.730-0.953),0.855(0.807-0.903),starnet_s1,val
