class,model,auc,sensitivity,specificity,npv,ppv,acc
,Dislocation,1.000(1.000-1.000),0.917(0.714-1.000),1.000(1.000-1.000),0.996(0.987-1.000),1.000(1.000-1.000),0.996(0.988-1.000)
,Spacer,0.997(0.990-1.000),0.930(0.769-1.000),0.991(0.978-1.000),0.996(0.986-1.000),0.863(0.667-1.000),0.988(0.975-1.000)
,Wear,0.946(0.868-0.995),0.601(0.272-0.889),0.996(0.987-1.000),0.983(0.965-0.996),0.854(0.500-1.000),0.979(0.958-0.996)
,Fracture,0.912(0.862-0.950),0.398(0.244-0.567),0.956(0.926-0.981),0.902(0.863-0.939),0.608(0.400-0.812),0.874(0.833-0.917)
,Stem Loosening,0.858(0.742-0.953),0.644(0.421-0.842),0.954(0.926-0.978),0.963(0.936-0.986),0.587(0.385-0.773),0.925(0.892-0.958)
,Acetabular Loosening,0.784(0.719-0.845),0.483(0.352-0.613),0.798(0.734-0.858),0.797(0.734-0.860),0.485(0.357-0.608),0.709(0.646-0.771)
,Good Place,0.751(0.690-0.814),0.582(0.473-0.690),0.714(0.646-0.785),0.777(0.702-0.841),0.499(0.395-0.598),0.670(0.613-0.733)
