class,auc,sensitivity,specificity,npv,ppv,acc
Spacer,0.999(0.997-1.000),0.877(0.687-1.000),1.000(1.000-1.000),0.990(0.976-1.000),1.000(1.000-1.000),0.991(0.978-1.000)
Fracture,0.954(0.920-0.981),0.795(0.654-0.925),0.934(0.898-0.967),0.963(0.933-0.989),0.679(0.536-0.818),0.913(0.878-0.948)
Dislocation,0.949(0.836-1.000),0.827(0.493-1.000),0.995(0.986-1.000),0.995(0.986-1.000),0.828(0.500-1.000),0.991(0.978-1.000)
Wear,0.937(0.856-1.000),0.667(0.333-1.000),0.982(0.964-0.996),0.986(0.968-1.000),0.605(0.286-0.900),0.969(0.943-0.991)
Good Place,0.918(0.884-0.948),0.799(0.719-0.875),0.796(0.728-0.862),0.840(0.776-0.903),0.747(0.664-0.825),0.797(0.748-0.844)
Acetabular Loosening,0.917(0.880-0.951),0.513(0.377-0.644),0.917(0.873-0.957),0.840(0.785-0.890),0.691(0.554-0.824),0.810(0.757-0.861)
Stem Loosening,0.873(0.694-1.000),0.496(0.000-1.000),0.973(0.952-0.991),0.991(0.977-1.000),0.249(0.000-0.600),0.965(0.939-0.987)
