class,auc,sensitivity,specificity,npv,ppv,acc,model,split
Spacer,0.997(0.989-1.000),0.836(0.583-1.000),1.000(1.000-1.000),0.990(0.974-1.000),1.000(1.000-1.000),0.991(0.976-1.000),resnet50,val
Dislocation,0.968(0.927-0.997),0.701(0.375-1.000),0.985(0.965-1.000),0.985(0.969-1.000),0.705(0.384-1.000),0.971(0.947-0.990),resnet50,val
Stem Loosening,0.960(0.930-0.984),0.427(0.188-0.667),0.990(0.973-1.000),0.945(0.908-0.975),0.808(0.500-1.000),0.938(0.903-0.966),resnet50,val
Fracture,0.920(0.867-0.961),0.635(0.452-0.806),0.949(0.913-0.978),0.939(0.903-0.972),0.682(0.500-0.852),0.904(0.860-0.942),resnet50,val
Good Place,0.884(0.832-0.929),0.588(0.474-0.704),0.928(0.884-0.966),0.821(0.755-0.879),0.800(0.686-0.902),0.816(0.763-0.865),resnet50,val
Wear,0.869(0.712-0.977),0.441(0.091-0.800),0.979(0.959-0.995),0.975(0.950-0.995),0.487(0.125-0.834),0.956(0.928-0.981),resnet50,val
Acetabular Loosening,0.857(0.798-0.913),0.830(0.729-0.918),0.717(0.644-0.792),0.914(0.858-0.957),0.538(0.435-0.646),0.749(0.691-0.812),resnet50,val
