class,auc,sensitivity,specificity,npv,ppv,acc
Dislocation,1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000),1.000(1.000-1.000)
Spacer,0.999(0.995-1.000),0.882(0.700-1.000),1.000(1.000-1.000),0.991(0.977-1.000),1.000(1.000-1.000),0.991(0.978-1.000)
Wear,0.990(0.974-1.000),0.338(0.000-0.667),1.000(1.000-1.000),0.973(0.951-0.991),1.000(1.000-1.000),0.974(0.952-0.991)
Fracture,0.986(0.965-0.998),0.883(0.763-0.972),0.980(0.957-0.995),0.979(0.959-0.995),0.885(0.763-0.974),0.965(0.939-0.987)
Acetabular Loosening,0.938(0.903-0.968),0.851(0.754-0.931),0.894(0.847-0.939),0.944(0.907-0.975),0.743(0.636-0.846),0.883(0.839-0.922)
Good Place,0.930(0.896-0.958),0.840(0.766-0.907),0.862(0.803-0.919),0.877(0.816-0.931),0.821(0.745-0.892),0.853(0.809-0.896)
Stem Loosening,0.688(0.432-1.000),0.240(0.000-1.000),1.000(1.000-1.000),0.987(0.973-1.000),1.000(1.000-1.000),0.987(0.974-1.000)
